ogi,xpost,ypost,xposp,yposp,0,1,2,3,4,5,6,7,8,9,pred,target
14,0.91824,0.69259,0.03060,0.43720,0.00337,0.00495,0.00014,0.00432,0.00036,0.00011,0.00158,0.00228,0.00869,0.97421,9,9
15,0.35819,0.72728,0.31078,0.52225,0.02275,0.04396,0.02768,0.02697,0.04458,0.01529,0.46128,0.00103,0.31923,0.03722,6,8
16,0.56506,0.99958,0.40013,0.04025,0.00010,0.00384,0.00248,0.00954,0.00203,0.97273,0.00064,0.00726,0.00128,0.00009,5,5
17,0.72961,0.70076,0.46365,0.34317,0.01312,0.00298,0.01185,0.15908,0.02186,0.03112,0.00360,0.71565,0.00073,0.04001,7,7
18,0.25873,0.65943,0.23144,0.60154,0.00237,0.00166,0.00064,0.00061,0.00207,0.00126,0.00024,0.00001,0.98929,0.00184,8,8
19,0.13710,0.35806,0.64583,0.19144,0.00030,0.00241,0.00324,0.00289,0.00230,0.00081,0.98565,0.00020,0.00050,0.00171,6,6
21,0.53419,0.28668,0.46611,0.95711,0.80785,0.00216,0.16733,0.00553,0.00298,0.00054,0.00157,0.00472,0.00594,0.00137,0,0
22,0.88807,0.43173,0.74066,0.37064,0.00148,0.00010,0.00225,0.00215,0.97910,0.00287,0.00221,0.00258,0.00695,0.00032,4,4
23,0.85115,0.47916,0.04604,0.43593,0.00226,0.00386,0.00010,0.00366,0.00021,0.00007,0.00151,0.00333,0.00257,0.98243,9,9
24,0.44965,0.50669,0.46649,0.07695,0.00128,0.00016,0.00281,0.00321,0.97159,0.00739,0.00284,0.00507,0.00533,0.00031,4,5
25,0.47965,0.31347,0.80461,0.42649,0.00562,0.00178,0.87744,0.02426,0.00699,0.06049,0.00947,0.00836,0.00521,0.00038,2,2
26,0.99561,0.43436,0.75217,0.36347,0.00078,0.00004,0.00127,0.00134,0.98861,0.00160,0.00158,0.00246,0.00216,0.00016,4,4
28,0.82099,0.60329,0.02916,0.43683,0.00222,0.00480,0.00009,0.00301,0.00019,0.00007,0.00149,0.00308,0.00279,0.98227,9,9
29,0.15135,0.53764,0.65366,0.18644,0.00038,0.00261,0.00495,0.00320,0.00256,0.00096,0.98279,0.00024,0.00058,0.00173,6,6
30,0.14424,0.49701,0.64866,0.18495,0.00162,0.00200,0.00931,0.07660,0.00683,0.00466,0.88873,0.00097,0.00177,0.00750,6,6
31,0.62997,0.89616,0.39190,0.02977,0.00004,0.00289,0.00146,0.00426,0.00099,0.98648,0.00037,0.00235,0.00113,0.00003,5,5
32,0.87725,0.33226,0.73929,0.36645,0.00163,0.00006,0.00296,0.00685,0.97249,0.00420,0.00334,0.00401,0.00409,0.00037,4,4
33,0.46586,0.35217,0.53183,0.19072,0.00021,0.00442,0.00479,0.01349,0.00597,0.95965,0.00149,0.00500,0.00485,0.00014,5,5
34,0.98385,0.66526,0.03486,0.43690,0.00198,0.00333,0.00008,0.00332,0.00018,0.00006,0.00129,0.00290,0.00234,0.98453,9,9
35,0.50075,0.12237,0.95216,0.58978,0.00328,0.00023,0.98640,0.00170,0.00150,0.00172,0.00265,0.00151,0.00092,0.00009,2,2
36,0.73395,0.31986,0.72911,0.36670,0.00105,0.00006,0.00172,0.00179,0.98478,0.00220,0.00207,0.00320,0.00290,0.00023,4,4
37,0.46962,0.61494,0.07688,0.39206,0.00877,0.04378,0.00037,0.00382,0.00044,0.00045,0.00459,0.00898,0.00810,0.92070,9,1
39,0.48858,0.94275,0.40040,0.06278,0.00007,0.00385,0.00203,0.00547,0.00143,0.98179,0.00054,0.00317,0.00160,0.00005,5,5
40,0.88656,0.39639,0.74467,0.36479,0.00088,0.00005,0.00143,0.00151,0.98726,0.00183,0.00168,0.00284,0.00234,0.00018,4,4
41,0.12998,0.62170,0.65153,0.18380,0.00039,0.00265,0.00369,0.00397,0.00243,0.00088,0.98254,0.00025,0.00062,0.00259,6,6
42,0.73979,0.89564,0.39278,0.02436,0.00003,0.00235,0.00125,0.00367,0.00081,0.98872,0.00029,0.00191,0.00095,0.00002,5,5
43,0.14553,0.33228,0.64290,0.19161,0.00035,0.00270,0.00357,0.00315,0.00250,0.00092,0.98415,0.00022,0.00056,0.00188,6,6
44,0.63845,0.29043,0.44150,0.95058,0.98693,0.00147,0.00318,0.00162,0.00079,0.00007,0.00020,0.00148,0.00267,0.00161,0,0
46,0.19925,0.28075,0.42281,0.23339,0.00173,0.00010,0.00247,0.95991,0.00306,0.02222,0.00395,0.00191,0.00186,0.00279,3,3
47,0.39390,0.65238,0.15652,0.52718,0.00817,0.00839,0.00143,0.00329,0.00404,0.00239,0.00150,0.00015,0.94063,0.03003,8,9
49,0.04640,0.60282,0.65134,0.18083,0.00026,0.00220,0.00292,0.00259,0.00205,0.00072,0.98713,0.00017,0.00044,0.00153,6,6
50,0.79218,0.76530,0.02508,0.43483,0.00163,0.00314,0.00007,0.00317,0.00015,0.00005,0.00166,0.00237,0.00192,0.98583,9,9
51,0.12485,0.72931,0.23497,0.59710,0.00671,0.00824,0.00531,0.00522,0.01669,0.00535,0.01669,0.00010,0.92545,0.01024,8,8
52,0.40447,0.38675,0.44179,0.36059,0.00551,0.00047,0.00882,0.86273,0.02543,0.06334,0.00909,0.01081,0.00690,0.00690,3,0
53,0.31124,0.41470,0.41093,0.18397,0.00160,0.00145,0.00785,0.48913,0.01272,0.46084,0.00616,0.01259,0.00571,0.00194,3,3
56,0.67815,0.57960,0.46929,0.34137,0.00139,0.00132,0.00145,0.00106,0.00335,0.00321,0.00010,0.98568,0.00002,0.00243,7,7
57,0.54279,0.49867,0.43607,0.22235,0.00507,0.00190,0.00534,0.04427,0.01129,0.02444,0.00091,0.89527,0.00017,0.01135,7,7
58,0.50565,0.50411,0.43202,0.12769,0.00203,0.00624,0.00648,0.01518,0.01546,0.13741,0.00083,0.81292,0.00031,0.00313,7,4
59,0.32057,0.51014,0.53750,0.19983,0.00167,0.00008,0.00235,0.96747,0.00243,0.00850,0.01155,0.00113,0.00113,0.00370,3,6
60,0.66515,0.54258,0.46510,0.34081,0.00130,0.00122,0.00129,0.00094,0.00291,0.00276,0.00009,0.98713,0.00001,0.00234,7,7
61,0.35342,0.44790,0.43435,0.15206,0.00248,0.00348,0.01319,0.37013,0.01487,0.54162,0.00764,0.03839,0.00479,0.00341,5,3
63,0.36965,0.47252,0.37377,0.16563,0.00372,0.02133,0.01991,0.19415,0.00886,0.68845,0.02439,0.01735,0.01663,0.00520,5,3
65,0.55850,0.20207,0.94729,0.58602,0.00314,0.00022,0.98704,0.00161,0.00142,0.00159,0.00259,0.00146,0.00085,0.00008,2,2
66,0.43017,0.63474,0.10704,0.45103,0.00688,0.02971,0.00164,0.00090,0.00268,0.00674,0.00136,0.00010,0.94428,0.00571,8,1
67,0.56883,0.06272,0.95616,0.58852,0.00341,0.00025,0.98566,0.00178,0.00158,0.00181,0.00282,0.00164,0.00095,0.00010,2,2
69,0.68213,0.63432,0.47127,0.34359,0.00619,0.00163,0.00650,0.00556,0.19722,0.01113,0.00130,0.76519,0.00043,0.00487,7,7
70,0.41953,0.20627,0.91412,0.57193,0.01350,0.00097,0.90447,0.00801,0.03329,0.00951,0.01005,0.00465,0.01495,0.00060,2,2
72,0.30148,0.63937,0.22809,0.60038,0.00251,0.00182,0.00070,0.00067,0.00222,0.00140,0.00027,0.00001,0.98845,0.00196,8,8
74,0.50353,0.44188,0.35506,0.83960,0.08055,0.00741,0.00518,0.00424,0.00831,0.00228,0.00113,0.00025,0.88104,0.00961,8,0
76,0.75676,0.74765,0.01254,0.43503,0.00186,0.00305,0.00007,0.00284,0.00014,0.00004,0.00110,0.00265,0.00196,0.98630,9,9
77,0.26619,0.21814,0.41836,0.25337,0.00132,0.00003,0.00113,0.98484,0.00110,0.00568,0.00200,0.00088,0.00070,0.00234,3,3
79,0.23914,0.70050,0.23278,0.59724,0.00275,0.00200,0.00080,0.00076,0.00251,0.00157,0.00031,0.00002,0.98708,0.00219,8,8
80,0.19406,0.63728,0.22711,0.59862,0.00256,0.00230,0.00090,0.00081,0.00256,0.00154,0.00052,0.00001,0.98626,0.00252,8,8
81,0.57383,0.79307,0.07511,0.39573,0.00158,0.98621,0.00018,0.00003,0.00003,0.00342,0.00204,0.00117,0.00223,0.00311,1,1
82,0.48159,0.77718,0.08401,0.38145,0.00128,0.98663,0.00016,0.00003,0.00003,0.00363,0.00208,0.00114,0.00206,0.00295,1,1
84,0.52521,0.02757,0.96034,0.59092,0.00272,0.00018,0.98885,0.00138,0.00122,0.00140,0.00220,0.00125,0.00073,0.00007,2,2
85,0.61546,0.83130,0.39478,0.03079,0.00005,0.00209,0.00147,0.00776,0.00105,0.98375,0.00041,0.00222,0.00117,0.00003,5,5
86,0.42276,0.18619,0.91110,0.56609,0.00699,0.00033,0.95571,0.01570,0.00333,0.00514,0.00735,0.00323,0.00188,0.00034,2,2
87,0.58612,0.48646,0.45699,0.34206,0.01849,0.00248,0.01304,0.18921,0.04704,0.03551,0.00446,0.65909,0.00099,0.02968,7,7
88,0.19487,0.72234,0.23340,0.59525,0.00253,0.00186,0.00075,0.00073,0.00237,0.00153,0.00029,0.00001,0.98789,0.00204,8,8
89,0.90306,0.57228,0.03451,0.43674,0.00197,0.00350,0.00008,0.00312,0.00017,0.00006,0.00130,0.00291,0.00229,0.98460,9,9
90,0.62891,0.30205,0.44345,0.95193,0.97792,0.00206,0.00407,0.00196,0.00136,0.00012,0.00026,0.00107,0.00907,0.00210,0,0
91,0.34223,0.16861,0.42697,0.25725,0.00154,0.00003,0.00142,0.98301,0.00133,0.00469,0.00336,0.00089,0.00075,0.00297,3,3
93,0.06308,0.50000,0.64806,0.18366,0.00031,0.00247,0.00320,0.00295,0.00231,0.00084,0.98548,0.00020,0.00051,0.00174,6,6
94,0.75668,0.30991,0.73583,0.36890,0.00108,0.00006,0.00178,0.00181,0.98459,0.00218,0.00214,0.00322,0.00291,0.00023,4,4
95,0.04566,0.65747,0.64725,0.17996,0.00447,0.00035,0.00763,0.86668,0.01715,0.01346,0.07309,0.00290,0.00392,0.01035,3,6
96,0.06755,0.62636,0.65537,0.18053,0.00677,0.00707,0.03705,0.01265,0.01036,0.00255,0.91370,0.00141,0.00319,0.00526,6,6
97,0.55453,0.30420,0.45170,0.95251,0.05685,0.00888,0.42129,0.01454,0.02576,0.01958,0.01069,0.00193,0.43551,0.00497,8,0
99,0.58610,0.65038,0.46884,0.34010,0.00141,0.00119,0.00134,0.00103,0.00311,0.00263,0.00009,0.98659,0.00001,0.00259,7,7
101,0.80016,0.81674,0.38427,0.00000,0.00006,0.00244,0.00176,0.01006,0.00128,0.97977,0.00056,0.00259,0.00145,0.00005,5,5
102,0.09484,0.37695,0.64832,0.18980,0.00039,0.00297,0.00394,0.00336,0.00274,0.00104,0.98268,0.00025,0.00063,0.00200,6,6
103,0.24212,0.14856,0.42501,0.25155,0.00299,0.00033,0.00661,0.87232,0.00541,0.00946,0.08908,0.00175,0.00214,0.00992,3,3
104,0.50908,0.79981,0.08194,0.38054,0.00127,0.98665,0.00016,0.00003,0.00003,0.00363,0.00208,0.00113,0.00207,0.00295,1,1
105,0.44532,0.85145,0.08735,0.38584,0.00145,0.98571,0.00019,0.00003,0.00004,0.00386,0.00221,0.00123,0.00221,0.00307,1,1
106,0.13210,0.21172,0.42273,0.24130,0.00203,0.00004,0.00200,0.97527,0.00316,0.00801,0.00409,0.00118,0.00140,0.00282,3,3
107,0.07994,0.32222,0.64434,0.18969,0.00033,0.00260,0.00340,0.00310,0.00244,0.00088,0.98463,0.00022,0.00054,0.00186,6,6
110,0.90571,0.40493,0.74400,0.36621,0.00199,0.00080,0.00773,0.01275,0.87707,0.06640,0.00637,0.01475,0.01155,0.00060,4,4
112,0.21922,0.52611,0.68409,0.19529,0.00054,0.00254,0.01091,0.00376,0.00309,0.00116,0.97542,0.00031,0.00069,0.00157,6,6
113,0.54826,0.19463,0.94420,0.58579,0.00343,0.00025,0.98570,0.00177,0.00158,0.00180,0.00277,0.00162,0.00097,0.00010,2,2
114,0.50900,0.71075,0.07669,0.38161,0.00131,0.98634,0.00017,0.00003,0.00003,0.00365,0.00209,0.00114,0.00217,0.00306,1,1
116,0.68188,0.07034,0.44536,0.97822,0.13139,0.00200,0.52001,0.25601,0.01523,0.02370,0.01714,0.01429,0.01586,0.00436,2,0
118,0.40564,0.26882,0.90043,0.49584,0.01159,0.00082,0.17465,0.66664,0.01286,0.03203,0.08334,0.00696,0.00563,0.00548,3,2
119,0.61820,0.48302,0.49373,0.35379,0.00217,0.00158,0.00387,0.00153,0.00389,0.00402,0.00017,0.98009,0.00003,0.00267,7,7
120,0.21913,0.65613,0.22767,0.60185,0.00232,0.00165,0.00062,0.00059,0.00196,0.00121,0.00024,0.00001,0.98959,0.00182,8,8
122,0.38010,0.82375,0.09097,0.38050,0.00151,0.98433,0.00021,0.00004,0.00004,0.00423,0.00243,0.00140,0.00236,0.00346,1,1
124,0.24719,0.55861,0.22335,0.60378,0.00237,0.00173,0.00061,0.00059,0.00194,0.00119,0.00024,0.00001,0.98935,0.00196,8,8
126,0.13040,0.77412,0.23568,0.59753,0.00293,0.00206,0.00090,0.00089,0.00267,0.00171,0.00035,0.00002,0.98604,0.00241,8,8
127,0.31062,0.23751,0.41759,0.25947,0.00758,0.00033,0.00767,0.91927,0.00903,0.01717,0.00843,0.01492,0.00205,0.01354,3,3
129,0.37181,0.14045,0.96769,0.60552,0.12954,0.00156,0.83931,0.00689,0.00461,0.00197,0.00432,0.00602,0.00499,0.00078,2,2
130,0.71935,0.38088,0.77882,0.39040,0.00544,0.00034,0.97022,0.00305,0.00736,0.00329,0.00491,0.00320,0.00202,0.00017,2,4
131,0.27994,0.92243,0.10113,0.39562,0.00195,0.98397,0.00023,0.00004,0.00004,0.00408,0.00236,0.00140,0.00258,0.00336,1,1
132,0.23357,0.84421,0.23485,0.59510,0.00270,0.00198,0.00077,0.00075,0.00239,0.00148,0.00031,0.00002,0.98732,0.00228,8,8
133,0.84454,0.52464,0.04174,0.43515,0.00259,0.00696,0.00012,0.00316,0.00021,0.00010,0.00196,0.00391,0.00293,0.97807,9,9
137,0.74422,0.68417,0.44762,0.34869,0.00294,0.00306,0.00166,0.00211,0.00336,0.00258,0.00025,0.96966,0.00005,0.01432,7,7
139,0.52949,0.56912,0.06400,0.50389,0.01117,0.00971,0.00157,0.00281,0.00404,0.00236,0.00137,0.00015,0.94239,0.02443,8,9
140,0.16405,0.43091,0.64160,0.18915,0.00141,0.00197,0.00827,0.08346,0.00688,0.00528,0.88244,0.00096,0.00178,0.00755,6,6
141,0.76404,0.88028,0.39183,0.02190,0.00003,0.00230,0.00123,0.00331,0.00071,0.98949,0.00026,0.00177,0.00088,0.00002,5,5
144,0.26037,0.56062,0.22459,0.59991,0.00246,0.00175,0.00068,0.00067,0.00220,0.00134,0.00027,0.00001,0.98862,0.00200,8,8
145,0.59311,0.55535,0.48999,0.32881,0.03425,0.00633,0.02272,0.04814,0.20129,0.03763,0.00647,0.61903,0.00345,0.02069,7,7
147,0.44971,0.90555,0.45684,0.08664,0.00004,0.00293,0.00150,0.00403,0.00145,0.98575,0.00041,0.00255,0.00131,0.00003,5,2
149,0.36033,0.08682,0.97246,0.59733,0.00270,0.00018,0.98903,0.00135,0.00120,0.00136,0.00216,0.00123,0.00072,0.00006,2,2
151,0.82850,0.71407,0.02441,0.43600,0.00181,0.00322,0.00007,0.00292,0.00015,0.00005,0.00119,0.00272,0.00204,0.98583,9,9
152,0.20940,0.48993,0.64248,0.17748,0.00051,0.00175,0.00405,0.01451,0.00315,0.00163,0.97012,0.00032,0.00074,0.00321,6,6
153,0.59068,0.29034,0.44315,0.95122,0.98507,0.00160,0.00388,0.00188,0.00089,0.00008,0.00024,0.00167,0.00293,0.00177,0,0
155,0.67906,0.87544,0.38816,0.02472,0.00022,0.00590,0.00785,0.01275,0.00323,0.95905,0.00194,0.00369,0.00524,0.00013,5,5
156,0.43139,0.01017,0.96429,0.59158,0.00286,0.00019,0.98826,0.00145,0.00129,0.00145,0.00234,0.00132,0.00077,0.00007,2,2
157,0.93600,0.60610,0.03324,0.43686,0.00175,0.00303,0.00007,0.00296,0.00015,0.00005,0.00116,0.00258,0.00207,0.98618,9,9
158,0.26255,0.36746,0.42371,0.21351,0.00092,0.00002,0.00098,0.98618,0.00094,0.00626,0.00178,0.00071,0.00057,0.00165,3,5
159,0.74014,0.27940,0.73371,0.36693,0.00109,0.00006,0.00177,0.00182,0.98447,0.00221,0.00213,0.00327,0.00293,0.00024,4,4
160,0.40161,0.13044,0.96377,0.57118,0.00431,0.00186,0.93573,0.00746,0.00468,0.02736,0.00877,0.00644,0.00312,0.00026,2,2
161,0.39053,0.89045,0.09030,0.39127,0.00152,0.98537,0.00019,0.00003,0.00004,0.00392,0.00223,0.00124,0.00233,0.00314,1,1
163,0.13604,0.53473,0.65121,0.18626,0.00047,0.00311,0.00534,0.00391,0.00303,0.00117,0.97975,0.00030,0.00072,0.00219,6,6
167,0.96812,0.38068,0.74653,0.36500,0.00169,0.00025,0.00427,0.00459,0.95536,0.00388,0.02096,0.00412,0.00419,0.00071,4,4
168,0.68664,0.92274,0.38968,0.02730,0.00004,0.00281,0.00136,0.00394,0.00093,0.98728,0.00034,0.00216,0.00111,0.00003,5,5
169,0.58286,0.42525,0.39300,0.92489,0.00343,0.00213,0.00082,0.00074,0.00240,0.00146,0.00030,0.00002,0.98657,0.00213,8,0
170,0.88751,0.78070,0.02957,0.43596,0.00176,0.00307,0.00007,0.00289,0.00015,0.00005,0.00114,0.00272,0.00197,0.98619,9,9
172,0.86505,0.74791,0.02689,0.43693,0.00173,0.00304,0.00007,0.00289,0.00015,0.00005,0.00114,0.00256,0.00208,0.98631,9,9
174,0.85794,0.57131,0.03694,0.43520,0.00204,0.00389,0.00009,0.00322,0.00018,0.00006,0.00150,0.00308,0.00226,0.98368,9,9
176,0.14602,0.19825,0.42212,0.24584,0.00156,0.00003,0.00144,0.97904,0.00327,0.00690,0.00315,0.00106,0.00112,0.00242,3,3
179,0.65693,0.32437,0.44101,0.95502,0.98780,0.00133,0.00294,0.00150,0.00074,0.00006,0.00018,0.00129,0.00267,0.00149,0,0
180,0.66197,0.19817,0.44279,0.96404,0.61340,0.00296,0.02881,0.26287,0.01945,0.00583,0.00785,0.01213,0.02677,0.01992,0,0
182,0.45828,0.20867,0.93357,0.58264,0.00342,0.00025,0.98586,0.00175,0.00157,0.00175,0.00276,0.00160,0.00095,0.00009,2,2
183,0.48011,0.12446,0.95426,0.58990,0.00341,0.00024,0.98592,0.00175,0.00157,0.00175,0.00275,0.00159,0.00094,0.00009,2,2
185,0.25341,0.81326,0.23975,0.59587,0.00295,0.00195,0.00088,0.00082,0.00318,0.00168,0.00035,0.00002,0.98597,0.00220,8,8
186,0.11382,0.55041,0.65600,0.18470,0.00141,0.00276,0.07453,0.00662,0.00540,0.00230,0.90354,0.00074,0.00123,0.00148,6,6
187,0.29471,0.16075,0.41930,0.26540,0.00192,0.00003,0.00163,0.98312,0.00127,0.00482,0.00253,0.00096,0.00084,0.00288,3,3
188,0.71560,0.40014,0.74264,0.36764,0.00326,0.00009,0.00651,0.95437,0.00574,0.01611,0.00610,0.00242,0.00235,0.00306,3,4
190,0.76842,0.83474,0.38514,0.01469,0.00007,0.00564,0.00245,0.00558,0.00140,0.97919,0.00121,0.00279,0.00161,0.00006,5,5
191,0.26297,0.52998,0.22989,0.59849,0.00726,0.00328,0.00454,0.00657,0.02954,0.00675,0.00410,0.00016,0.93110,0.00671,8,8
192,0.77047,0.07861,0.44266,0.97069,0.55940,0.01109,0.02913,0.01971,0.06991,0.00575,0.00275,0.27665,0.00605,0.01955,0,0
194,0.62973,0.71801,0.46854,0.33851,0.00119,0.00103,0.00112,0.00085,0.00275,0.00231,0.00007,0.98847,0.00001,0.00220,7,7
196,0.27170,0.61285,0.22814,0.60218,0.00233,0.00170,0.00065,0.00060,0.00204,0.00129,0.00025,0.00001,0.98932,0.00182,8,8
197,0.18740,0.69938,0.22901,0.59732,0.00334,0.00240,0.00118,0.00173,0.00360,0.00313,0.00051,0.00003,0.98121,0.00288,8,8
198,0.58585,0.62769,0.46894,0.33671,0.00122,0.00111,0.00118,0.00090,0.00287,0.00259,0.00008,0.98783,0.00001,0.00222,7,7
200,0.68071,0.77799,0.38764,0.01810,0.00034,0.00516,0.00654,0.05582,0.00413,0.91237,0.00601,0.00519,0.00407,0.00037,5,5
202,0.23294,0.76160,0.23242,0.59565,0.00322,0.00233,0.00095,0.00091,0.00286,0.00179,0.00039,0.00002,0.98490,0.00263,8,8
203,0.66000,0.72917,0.47100,0.33515,0.00929,0.00199,0.01377,0.01157,0.71405,0.02068,0.00613,0.21424,0.00327,0.00500,4,7
206,0.74429,0.14557,0.44100,0.97394,0.31754,0.01485,0.01539,0.00882,0.01300,0.00374,0.00226,0.00098,0.61075,0.01268,8,0
208,0.70901,0.49618,0.46997,0.34904,0.00194,0.00165,0.00185,0.00134,0.00386,0.00346,0.00014,0.98255,0.00002,0.00319,7,7
209,0.88970,0.52981,0.04145,0.43567,0.00188,0.00327,0.00008,0.00316,0.00016,0.00005,0.00128,0.00280,0.00218,0.98514,9,9
211,0.76097,0.35324,0.71170,0.40647,0.01297,0.00146,0.00855,0.00781,0.74324,0.01135,0.00554,0.00263,0.20323,0.00320,4,4
212,0.55706,0.91062,0.39486,0.03606,0.00005,0.00310,0.00167,0.00469,0.00111,0.98514,0.00041,0.00251,0.00130,0.00003,5,5
213,0.40593,0.65469,0.06941,0.51885,0.00804,0.00908,0.00106,0.00348,0.00336,0.00164,0.00139,0.00019,0.90424,0.06753,8,9
214,0.32704,0.74743,0.27178,0.60184,0.02158,0.00839,0.07823,0.00573,0.01331,0.01204,0.00487,0.00042,0.85092,0.00452,8,8
215,0.54365,0.37602,0.45526,0.91938,0.91672,0.00440,0.04663,0.00702,0.00400,0.00066,0.00175,0.00674,0.00834,0.00374,0,0
217,0.83274,0.49331,0.04500,0.43654,0.00218,0.00419,0.00010,0.00324,0.00019,0.00007,0.00149,0.00325,0.00248,0.98281,9,9
219,0.55624,0.15364,0.94817,0.58781,0.00354,0.00026,0.98522,0.00184,0.00164,0.00188,0.00282,0.00171,0.00099,0.00010,2,2
220,0.60261,0.59027,0.46728,0.33730,0.00315,0.00038,0.00451,0.00447,0.91881,0.00779,0.00258,0.05509,0.00200,0.00121,4,7
221,0.00018,0.41988,0.66177,0.18349,0.00031,0.00230,0.00329,0.00306,0.00246,0.00083,0.98532,0.00020,0.00051,0.00171,6,6
223,0.79298,0.42221,0.71985,0.36194,0.00331,0.00025,0.00458,0.00937,0.94765,0.00816,0.00453,0.01671,0.00437,0.00108,4,4
224,0.42899,0.43511,0.53729,0.26251,0.00320,0.00174,0.01315,0.03568,0.71578,0.17515,0.00988,0.02584,0.01839,0.00120,4,3
225,0.83973,0.55800,0.03652,0.43578,0.00248,0.00564,0.00011,0.00331,0.00021,0.00008,0.00180,0.00357,0.00291,0.97988,9,9
226,0.31009,0.46197,0.53987,0.41456,0.01050,0.01071,0.04341,0.04546,0.46334,0.28515,0.02479,0.02704,0.08569,0.00391,4,6
229,0.25180,0.41103,0.73806,0.29154,0.01156,0.00262,0.30793,0.20564,0.01840,0.02114,0.41415,0.00641,0.00583,0.00632,6,6
238,0.63414,0.78675,0.38807,0.02412,0.00134,0.00072,0.00488,0.73165,0.00422,0.24141,0.00484,0.00541,0.00369,0.00186,3,5
240,0.35274,0.92172,0.09162,0.38614,0.00150,0.98494,0.00020,0.00003,0.00004,0.00412,0.00230,0.00128,0.00240,0.00320,1,1
241,0.46403,0.72020,0.08265,0.37831,0.00157,0.98373,0.00021,0.00004,0.00004,0.00416,0.00254,0.00142,0.00251,0.00378,1,1
243,0.91736,0.51427,0.03701,0.43821,0.00240,0.00373,0.00010,0.00371,0.00024,0.00007,0.00135,0.00239,0.00440,0.98160,9,9
244,0.61156,0.22880,0.44477,0.95920,0.98663,0.00148,0.00336,0.00162,0.00082,0.00007,0.00020,0.00148,0.00275,0.00158,0,0
250,0.60537,0.90068,0.38053,0.04358,0.00003,0.00280,0.00127,0.00372,0.00085,0.98789,0.00032,0.00203,0.00105,0.00002,5,5
255,0.67631,0.12266,0.44270,0.96856,0.08794,0.00898,0.00840,0.00609,0.01185,0.00379,0.00175,0.00039,0.86098,0.00983,8,0
258,0.47678,0.44754,0.34652,0.89876,0.00901,0.00260,0.00107,0.00085,0.00255,0.00117,0.00029,0.00002,0.98007,0.00237,8,0
259,0.82063,0.67371,0.02586,0.43702,0.00298,0.00584,0.00014,0.00386,0.00027,0.00010,0.00185,0.00396,0.00360,0.97741,9,9
260,0.18666,0.58602,0.22520,0.59911,0.00279,0.00181,0.00086,0.00109,0.00276,0.00164,0.00039,0.00002,0.98587,0.00277,8,8
265,0.33857,0.76008,0.33134,0.60238,0.00526,0.00045,0.97639,0.00266,0.00285,0.00344,0.00336,0.00127,0.00416,0.00016,2,8
269,0.83477,0.14240,0.43974,0.98636,0.98272,0.00129,0.00410,0.00369,0.00102,0.00009,0.00037,0.00156,0.00303,0.00213,0,0
270,0.44150,0.07921,0.96466,0.59644,0.00259,0.00016,0.98954,0.00128,0.00117,0.00127,0.00209,0.00114,0.00070,0.00006,2,2
273,0.14589,0.25228,0.41305,0.23655,0.00139,0.00091,0.00658,0.64624,0.00502,0.32072,0.00429,0.00986,0.00315,0.00183,3,3
278,0.96331,0.34652,0.74619,0.36534,0.00983,0.00076,0.01705,0.40462,0.42177,0.06521,0.03820,0.01881,0.01697,0.00678,4,4
